GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
0500000US38001,38001,"Adams County, North Dakota",1726,73,2,4,0,9,0,9,0,9,0,9,0,9,0,9,3,5,0,9,0,9,15,9,0,9,3,6,28,15,19,12,576,84,29,19,103,36,352,67,168,57,313,60,73,38,15,11,27,26
0500000US38003,38003,"Barnes County, North Dakota",7793,59,26,24,0,14,0,14,0,14,0,14,0,14,0,14,7,9,11,14,0,14,298,108,35,22,50,29,136,61,94,41,2112,216,327,85,497,82,1299,163,918,197,1509,177,352,100,50,34,72,39
0500000US38005,38005,"Benson County, North Dakota",3857,14,7,5,0,12,0,12,0,12,0,12,2,3,0,12,0,12,16,10,30,16,131,33,66,23,123,32,169,37,34,13,1026,93,226,38,233,52,637,67,594,64,418,59,120,35,10,9,15,10
0500000US38007,38007,"Billings County, North Dakota",717,91,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,4,21,10,7,10,7,5,7,7,27,22,233,60,11,9,18,11,129,38,71,25,150,40,18,14,7,8,6,6
0500000US38009,38009,"Bottineau County, North Dakota",4670,69,18,16,0,12,0,12,2,3,0,12,0,12,0,12,0,12,11,10,0,12,189,57,37,21,69,27,77,29,74,33,1260,143,203,53,378,92,870,122,507,90,766,125,139,33,40,24,30,22
0500000US38011,38011,"Bowman County, North Dakota",2234,15,2,5,2,5,0,9,0,9,0,9,0,9,0,9,3,6,26,28,0,9,65,31,22,25,41,23,36,21,34,20,616,76,54,24,133,31,411,69,296,65,373,66,103,33,15,12,2,4
0500000US38013,38013,"Burke County, North Dakota",1446,58,1,2,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,73,32,27,22,36,19,18,10,24,14,410,45,36,22,76,19,329,55,128,31,204,38,76,27,2,3,2,3
0500000US38015,38015,"Burleigh County, North Dakota",59286,157,224,79,0,20,8,12,0,20,4,8,38,55,26,41,0,20,111,73,98,59,1486,227,253,111,481,137,615,171,506,105,12392,689,2114,270,3872,344,8286,554,8612,615,13923,719,4106,464,1256,198,875,232
0500000US38017,38017,"Cass County, North Dakota",100516,183,790,185,0,20,31,38,0,20,0,20,41,37,33,29,46,41,228,110,85,50,1159,266,364,107,616,201,828,198,874,239,17665,1005,3073,427,5947,471,17001,924,14759,829,25894,1237,6961,642,2061,335,2060,333
0500000US38019,38019,"Cavalier County, North Dakota",2883,22,3,5,0,9,0,9,0,9,0,9,3,5,9,10,0,9,0,9,7,11,145,40,17,14,63,30,12,11,45,27,744,88,51,22,244,56,525,74,505,71,401,71,76,40,18,13,15,12
0500000US38021,38021,"Dickey County, North Dakota",3534,45,6,7,0,12,0,12,0,12,0,12,0,12,7,10,0,12,13,14,3,4,223,75,29,21,46,24,95,46,53,28,925,98,89,34,170,34,528,81,407,70,726,100,112,44,71,40,31,23
0500000US38023,38023,"Divide County, North Dakota",1836,57,6,7,0,9,0,9,0,9,0,9,10,12,1,4,5,8,3,5,3,6,64,27,12,17,39,30,28,18,26,19,624,82,6,6,104,37,312,68,215,58,341,56,29,21,0,9,8,8
0500000US38025,38025,"Dunn County, North Dakota",2914,93,2,3,0,9,0,9,0,9,0,9,6,7,3,4,1,5,2,5,0,9,91,29,26,15,50,20,16,11,64,33,843,127,157,57,238,54,475,74,369,56,450,93,99,34,15,12,7,9
0500000US38027,38027,"Eddy County, North Dakota",1713,62,4,6,0,9,0,9,0,9,0,9,0,9,0,9,1,3,0,9,3,4,83,24,15,17,11,7,49,21,32,19,417,78,74,25,137,33,270,42,240,49,310,59,48,18,16,11,3,5
0500000US38029,38029,"Emmons County, North Dakota",2503,71,11,10,0,9,0,9,0,9,0,9,0,9,0,9,3,4,16,14,50,49,181,38,58,34,31,21,34,15,22,12,860,101,63,28,100,27,425,70,266,51,337,59,32,17,9,8,5,6
0500000US38031,38031,"Foster County, North Dakota",2426,45,8,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,6,8,14,13,102,46,12,9,55,37,62,29,39,20,706,87,56,21,192,46,404,62,314,63,379,61,73,28,3,5,1,2
0500000US38033,38033,"Golden Valley County, North Dakota",1206,84,14,23,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,0,9,13,8,4,6,26,21,35,22,4,7,248,58,41,27,104,41,276,60,163,45,212,60,54,33,5,5,3,4
0500000US38035,38035,"Grand Forks County, North Dakota",39696,214,300,105,0,20,157,84,0,20,29,36,4,7,62,51,27,27,94,97,82,70,452,127,250,98,335,81,574,173,479,120,8291,529,1512,238,2473,324,6919,447,4576,414,8481,427,3123,320,759,148,717,143
0500000US38037,38037,"Grant County, North Dakota",1851,47,6,7,0,9,0,9,0,9,0,9,0,9,2,4,1,3,0,9,4,4,93,65,21,15,36,14,20,13,22,10,647,72,61,17,146,28,256,52,219,38,254,39,40,14,19,12,4,4
0500000US38039,38039,"Griggs County, North Dakota",1766,52,1,2,0,9,0,9,0,9,0,9,1,2,0,9,0,9,7,6,6,10,77,31,4,5,42,23,38,22,30,16,607,72,57,23,105,33,262,55,206,42,291,56,26,16,0,9,6,8
0500000US38041,38041,"Hettinger County, North Dakota",1921,62,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,6,6,9,7,102,31,12,12,44,25,17,14,24,12,651,76,61,23,180,47,345,48,183,40,234,37,41,27,8,8,2,4
0500000US38043,38043,"Kidder County, North Dakota",1790,67,10,10,0,9,0,9,0,9,0,9,3,5,0,9,1,3,2,5,3,5,94,28,24,16,10,7,37,22,24,14,523,68,60,22,105,28,290,60,255,56,289,44,51,28,4,4,5,7
0500000US38045,38045,"LaMoure County, North Dakota",2993,47,5,7,0,9,0,9,0,9,0,9,0,9,0,9,1,2,1,2,29,22,197,43,18,10,50,24,52,19,37,16,861,76,89,24,171,39,501,62,350,52,517,70,88,19,16,14,10,8
0500000US38047,38047,"Logan County, North Dakota",1445,45,3,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,3,4,181,43,7,8,7,5,33,20,23,10,528,53,40,15,70,25,233,44,130,35,157,35,22,13,3,4,1,4
0500000US38049,38049,"McHenry County, North Dakota",4078,29,20,11,0,12,0,12,0,12,0,12,0,12,0,12,3,4,6,5,11,7,174,40,28,15,89,35,42,18,46,19,1354,111,155,42,251,67,723,73,411,61,607,99,114,32,24,14,20,14
0500000US38051,38051,"McIntosh County, North Dakota",2182,53,25,13,0,9,0,9,0,9,0,9,0,9,0,9,1,2,7,9,15,11,275,43,31,18,48,29,14,8,26,12,626,71,61,22,140,35,249,38,255,41,314,56,60,20,35,18,0,9
0500000US38053,38053,"McKenzie County, North Dakota",5890,14,3,4,0,14,0,14,0,14,0,14,0,14,4,6,0,14,14,13,4,6,170,49,46,21,81,35,117,55,47,43,1355,145,318,71,390,89,1166,151,830,135,1039,142,223,69,46,39,37,26
0500000US38055,38055,"McLean County, North Dakota",6884,25,37,17,0,12,0,12,0,12,0,12,5,5,0,12,6,8,8,8,21,19,228,59,56,31,83,27,84,34,77,29,2066,143,262,50,489,77,1119,110,1034,108,1033,104,228,51,35,18,13,10
0500000US38057,38057,"Mercer County, North Dakota",6198,54,53,44,0,12,0,12,0,12,0,12,24,25,0,12,20,24,0,12,30,24,271,60,27,26,44,27,125,44,25,26,1647,179,191,55,422,84,1075,165,972,136,965,159,261,79,18,19,28,17
