GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
0500000US38001,38001,"Adams County, North Dakota",1767,70,6,8,0,9,0,9,0,9,2,4,3,4,0,9,2,5,0,9,3,5,58,29,6,9,7,8,22,13,14,11,611,80,46,26,108,40,320,55,149,55,309,66,57,27,18,12,26,20
0500000US38003,38003,"Barnes County, North Dakota",7828,70,38,40,0,14,0,14,0,14,0,14,0,14,0,14,11,15,34,34,14,21,330,99,85,66,74,35,119,61,85,38,2269,217,357,87,384,78,1331,162,645,114,1589,189,343,85,60,42,60,38
0500000US38005,38005,"Benson County, North Dakota",3858,4,17,15,0,12,0,12,0,12,0,12,5,8,2,3,0,12,11,8,41,25,136,35,50,22,141,45,182,38,70,30,1143,102,216,47,209,48,618,67,569,53,367,57,64,22,10,7,7,8
0500000US38007,38007,"Billings County, North Dakota",667,87,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,8,28,18,8,8,9,7,11,9,7,8,235,53,13,10,23,9,94,34,84,28,115,42,12,10,17,12,0,9
0500000US38009,38009,"Bottineau County, North Dakota",4678,48,20,22,0,12,0,12,2,3,0,12,0,12,0,12,0,12,13,14,23,23,185,54,33,18,87,34,141,47,52,32,1134,105,151,45,422,93,832,106,603,83,736,114,165,59,57,32,22,18
0500000US38011,38011,"Bowman County, North Dakota",2265,22,1,2,0,9,0,9,0,9,5,8,0,9,0,9,1,2,28,25,0,9,76,24,19,21,43,26,47,27,28,27,733,79,32,17,131,44,406,79,246,62,400,72,59,23,7,8,3,4
0500000US38013,38013,"Burke County, North Dakota",1441,57,2,3,0,9,0,9,0,9,0,9,0,9,0,9,1,3,0,9,0,9,71,32,34,30,32,18,19,12,23,15,448,50,59,30,75,23,288,46,138,34,189,44,58,26,3,4,1,3
0500000US38015,38015,"Burleigh County, North Dakota",56202,170,221,103,0,20,18,21,0,20,2,5,53,58,11,22,0,20,89,44,118,67,1518,239,292,90,415,114,641,149,359,92,11119,627,2190,292,4084,390,8148,522,8284,561,12750,739,3962,404,1173,192,755,204
0500000US38017,38017,"Cass County, North Dakota",95521,,588,150,0,20,10,15,0,20,0,20,1,2,74,49,36,36,339,170,65,40,1269,261,324,98,721,173,930,214,813,215,16541,838,3020,373,5816,462,17257,943,12223,707,24732,1000,7057,603,2123,357,1582,281
0500000US38019,38019,"Cavalier County, North Dakota",2966,47,21,19,0,9,0,9,0,9,0,9,8,9,5,6,0,9,0,9,9,8,160,47,33,37,56,30,35,20,34,22,794,84,92,45,261,61,495,80,477,79,366,65,83,42,31,22,6,6
