GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
0500000US38001,38001,"Adams County, North Dakota",1778,83,0,9,0,9,0,9,0,9,2,4,3,4,0,9,2,4,0,9,0,9,36,17,1,2,5,5,22,13,17,13,613,89,38,21,92,34,363,70,159,53,313,55,65,30,18,12,29,24
0500000US38003,38003,"Barnes County, North Dakota",7698,39,20,19,0,14,0,14,0,14,0,14,0,14,0,14,6,10,15,18,14,22,340,103,97,70,74,33,140,67,86,55,2148,186,348,100,408,81,1359,169,770,133,1412,164,318,86,79,43,64,41
0500000US38005,38005,"Benson County, North Dakota",3864,4,15,12,0,12,0,12,0,12,0,12,5,7,2,3,0,12,17,10,45,24,123,34,63,26,148,31,183,35,62,23,1135,87,212,38,202,36,578,61,592,73,385,50,76,23,11,9,10,8
0500000US38007,38007,"Billings County, North Dakota",642,64,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,3,17,9,7,9,8,7,11,8,10,9,239,52,13,10,25,12,106,32,74,27,107,27,6,5,12,10,0,9
0500000US38009,38009,"Bottineau County, North Dakota",4694,58,28,37,0,12,0,12,3,4,0,12,0,12,0,12,0,12,21,14,18,19,178,51,41,22,81,34,111,47,51,28,1253,127,192,54,414,75,888,105,573,87,662,109,131,37,43,25,6,8
0500000US38011,38011,"Bowman County, North Dakota",2242,25,1,2,0,9,0,9,0,9,0,9,0,9,0,9,1,2,34,28,0,9,66,25,21,24,61,22,36,24,33,27,710,89,46,22,123,40,392,78,269,65,353,66,81,32,12,12,3,4
0500000US38013,38013,"Burke County, North Dakota",1432,55,1,2,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,71,32,28,22,37,16,20,13,18,12,426,43,51,24,75,18,307,58,131,30,194,41,66,28,3,4,2,3
0500000US38015,38015,"Burleigh County, North Dakota",57793,163,186,85,0,20,10,15,0,20,2,5,43,56,0,20,0,20,81,63,108,64,1484,198,233,98,431,118,623,167,462,114,12080,661,2140,298,4034,351,8159,637,8419,512,12948,678,4298,419,1151,195,901,203
0500000US38017,38017,"Cass County, North Dakota",98073,107,806,175,0,20,32,37,0,20,0,20,8,14,51,35,41,46,229,124,58,41,1103,203,356,125,719,189,935,221,758,197,16860,1075,3029,405,5992,487,17006,930,13421,935,25317,1005,7304,622,2173,348,1875,301
0500000US38019,38019,"Cavalier County, North Dakota",2925,37,4,7,0,9,0,9,0,9,0,9,4,6,6,9,0,9,0,9,10,10,133,39,36,30,76,42,17,15,43,23,720,78,53,33,274,49,480,75,512,76,444,74,89,39,14,9,10,7
