GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
0500000US38001,38001,"Adams County, North Dakota",1686,76,6,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,20,17,3,5,4,6,27,17,14,10,539,94,29,19,76,34,320,69,186,62,310,66,61,40,36,22,55,38
0500000US38003,38003,"Barnes County, North Dakota",7728,72,36,23,0,15,0,15,0,15,5,10,0,15,0,15,0,15,34,37,0,15,259,90,53,36,90,51,205,70,98,42,1874,171,363,103,396,99,1335,175,984,198,1442,190,404,109,63,41,87,48
0500000US38005,38005,"Benson County, North Dakota",3917,,7,6,0,13,0,13,2,3,0,13,2,3,0,13,0,13,7,7,27,16,117,33,74,27,131,35,202,41,31,13,1001,90,208,38,257,50,598,60,649,64,449,57,133,34,9,8,13,11
0500000US38007,38007,"Billings County, North Dakota",714,52,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,3,24,13,0,9,13,12,10,11,22,19,223,45,18,12,12,9,118,34,105,35,108,29,27,18,7,8,23,27
0500000US38009,38009,"Bottineau County, North Dakota",4644,69,21,14,1,4,0,13,1,3,0,13,0,13,0,13,0,13,10,10,6,7,144,46,25,18,44,19,63,34,82,33,1257,141,146,40,343,79,858,107,624,92,831,122,131,39,26,19,31,23
0500000US38011,38011,"Bowman County, North Dakota",2215,37,4,9,4,6,0,9,0,9,0,9,0,9,10,14,0,9,3,4,0,9,38,24,36,30,38,21,30,22,20,12,672,96,47,26,107,29,399,80,265,66,414,88,115,48,13,14,0,9
0500000US38013,38013,"Burke County, North Dakota",1472,63,3,3,6,10,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,32,15,15,8,21,11,20,13,30,17,397,55,40,18,107,29,332,52,173,34,216,43,72,27,2,3,6,6
0500000US38015,38015,"Burleigh County, North Dakota",62512,202,193,83,0,22,5,9,0,22,0,22,69,64,30,38,0,22,195,125,91,55,1191,219,235,103,596,172,687,172,635,154,12615,606,1996,238,3529,373,9370,682,9138,689,15842,853,4176,400,1172,181,747,183
0500000US38017,38017,"Cass County, North Dakota",106596,171,917,203,23,38,28,32,0,22,17,24,67,52,14,18,90,101,190,116,108,69,1134,289,604,209,838,251,916,228,1080,230,18282,955,3206,452,6184,641,16270,945,15756,908,29143,1104,7942,708,1932,292,1855,356
0500000US38019,38019,"Cavalier County, North Dakota",2774,32,12,16,0,9,0,9,0,9,0,9,0,9,5,9,0,9,0,9,3,4,119,41,16,12,42,26,21,16,5,6,773,83,56,28,228,56,503,79,469,78,443,84,56,28,0,9,23,19
