GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
0500000US38001,38001,"Adams County, North Dakota",1682,86,7,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,16,12,4,6,4,6,29,17,8,9,548,90,24,18,79,31,344,73,156,47,319,56,79,34,30,20,35,35
0500000US38003,38003,"Barnes County, North Dakota",7712,43,28,19,0,14,0,14,0,14,4,10,0,14,0,14,4,9,16,21,0,14,252,105,61,46,74,38,172,65,92,42,2173,258,348,104,435,103,1261,156,966,170,1390,184,289,84,50,35,97,42
0500000US38005,38005,"Benson County, North Dakota",3861,20,5,6,0,12,0,12,1,3,0,12,2,3,0,12,0,12,10,8,28,16,125,31,70,23,110,29,197,37,32,14,1048,71,202,36,238,45,629,58,585,62,423,53,126,31,10,8,20,13
0500000US38007,38007,"Billings County, North Dakota",687,61,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,4,24,12,0,9,11,11,6,9,23,17,213,49,13,10,12,10,116,36,94,27,130,37,20,14,6,7,15,26
0500000US38009,38009,"Bottineau County, North Dakota",4653,66,19,14,0,12,0,12,1,3,0,12,0,12,0,12,0,12,9,9,3,7,163,46,29,18,62,23,65,32,76,31,1300,134,193,51,363,66,863,103,517,85,764,126,162,46,32,17,32,25
0500000US38011,38011,"Bowman County, North Dakota",2215,26,3,5,4,6,0,9,0,9,0,9,0,9,7,9,3,6,14,16,0,9,61,30,29,26,38,19,39,29,29,16,673,90,49,25,120,33,420,78,240,61,361,68,109,29,13,14,3,4
0500000US38013,38013,"Burke County, North Dakota",1519,61,1,3,3,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,63,32,27,16,24,13,24,16,26,14,396,56,38,20,102,27,344,48,154,30,228,39,84,26,2,3,3,5
0500000US38015,38015,"Burleigh County, North Dakota",60830,176,190,76,0,20,4,7,0,20,2,4,39,56,26,39,0,20,131,78,78,52,1394,213,250,107,563,144,739,191,596,141,12251,762,2168,312,3795,406,8858,592,8926,623,14754,749,4023,422,1230,214,813,181
0500000US38017,38017,"Cass County, North Dakota",103797,177,886,200,0,20,30,38,0,20,0,20,63,44,32,32,97,87,209,107,48,45,1240,289,501,155,739,235,856,219,1040,199,18335,1034,3199,496,5841,496,16679,1142,15219,889,27277,1056,7564,570,1998,373,1944,343
0500000US38019,38019,"Cavalier County, North Dakota",2822,33,3,5,0,9,0,9,0,9,0,9,0,9,4,9,0,9,0,9,2,3,136,41,11,9,46,27,20,16,32,24,764,82,36,19,236,57,539,79,466,73,431,76,67,41,8,9,21,15
