GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
0500000US38001,38001,"Adams County, North Dakota",25360,1905,23021,21190,20357,6087,27112,4108,30592,5292,38125,17473,27880,2616,25417,27848,21667,4706,30045,6003,38295,15987,70417,41336,22404,3369,22917,24777,16136,4224,22273,9293,28750,6457,21667,20013
0500000US38003,38003,"Barnes County, North Dakota",31722,1555,20769,11676,25645,2293,36121,1708,30827,3494,50417,8330,40475,1927,27250,6764,34534,2873,44835,3868,41964,7726,46250,12506,21947,1731,8393,6444,14619,3848,23049,2763,25531,2353,54191,6826
0500000US38005,38005,"Benson County, North Dakota",21753,1514,14118,4252,18112,3057,25706,3014,37500,9452,40500,7325,26330,2342,13500,6686,21676,3668,34063,5283,40903,2469,40750,19013,18179,2970,14375,4844,13295,3814,20956,2149,31635,2211,39583,13317
0500000US38007,38007,"Billings County, North Dakota",31300,4037,26563,27009,30250,16367,32692,6672,28611,3906,38750,18323,43950,4282,22292,38401,55278,30394,43929,7345,46429,6950,-,**,21989,5948,26875,24545,21806,12174,11500,9739,25556,6675,32500,10756
0500000US38009,38009,"Bottineau County, North Dakota",30267,2609,17596,5492,21705,6881,30073,3307,37159,6266,55625,12562,40682,7114,23859,5952,32946,8069,42727,8060,48333,13279,89545,21172,20736,2431,13269,7304,13849,2073,21673,2402,33257,5043,34000,12794
0500000US38011,38011,"Bowman County, North Dakota",27586,3821,6944,8447,22188,7830,29167,6742,41513,2320,23750,11911,40081,6055,"2,500-",***,35795,9148,50982,13006,46875,9771,21875,6041,20063,2572,10500,2697,14917,4904,21271,1151,34107,5257,36250,39915
0500000US38013,38013,"Burke County, North Dakota",30799,2124,13194,4002,23654,4691,32262,7657,41944,8322,48000,21787,48542,3213,12083,19388,45938,8953,50694,6378,50789,5110,86250,44730,21143,2210,13333,10776,15000,4311,22279,3093,32115,8591,46250,30939
0500000US38015,38015,"Burleigh County, North Dakota",33997,978,15888,1734,25908,951,31499,813,42707,1199,50918,3727,41955,895,17176,3411,31579,1378,41428,1671,51668,1556,62143,6366,27468,979,13384,2548,21581,979,25405,1194,35602,1417,44646,3415
0500000US38017,38017,"Cass County, North Dakota",34009,670,16861,2305,26486,820,31649,557,39773,1132,56422,2378,40626,844,18654,2403,32639,1945,38419,1736,51168,1388,71977,8167,28409,955,14240,2509,20613,842,26657,784,33505,1249,49437,3073
0500000US38019,38019,"Cavalier County, North Dakota",27688,3217,18409,9640,25402,6639,30268,3571,34773,7446,25966,2893,37768,5898,15833,17104,38646,9377,41027,8213,44107,22723,20208,42874,20587,2544,19773,11071,13816,3414,20000,4958,31023,9530,26591,2883
0500000US38021,38021,"Dickey County, North Dakota",25836,1507,24583,7472,23311,3548,23173,3115,32236,5364,36250,9464,33390,3955,28203,5081,31328,5095,34583,10278,43750,7083,36250,41916,20233,1476,8750,12604,13801,1962,20361,1892,29896,4513,36250,28063
0500000US38023,38023,"Divide County, North Dakota",27831,4290,16477,6389,24100,1744,28793,4218,36667,8702,31250,47069,35714,7621,16136,4189,41157,9664,32083,8836,51125,28909,12143,95425,24047,1824,25536,22364,16875,15240,27500,6978,32232,5842,36250,36089
