GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
0500000US38001,38001,"Adams County, North Dakota",30025,3529,6667,30612,23158,4501,31642,1746,36750,5915,41875,16574,33456,3835,"2,500-",***,26250,3145,33611,5562,41615,9109,52500,46200,26085,1987,6667,22843,19271,4799,29531,4374,31000,6290,35938,11826
0500000US38003,38003,"Barnes County, North Dakota",33556,2094,27500,15312,30603,4052,36341,2872,30941,3825,50150,7595,43646,2671,30600,13042,44706,9822,46571,4898,41211,8257,51000,10571,24926,2046,16364,15119,19185,5147,25652,2463,26623,3225,50056,10121
0500000US38005,38005,"Benson County, North Dakota",25172,1809,12738,2751,19919,2682,27299,3161,37188,7281,37431,7791,30425,1646,13194,6261,26420,4373,38295,4514,43958,5741,36806,6018,20000,2984,12404,3402,12596,4193,22908,2767,34821,5711,40625,4561
0500000US38007,38007,"Billings County, North Dakota",31071,10139,11458,17115,27019,23135,35208,15906,36750,18834,32917,14568,36000,17582,11667,20922,26635,32322,44167,22129,45893,13414,-,**,25833,9177,7250,34298,33500,25226,18611,12177,25250,17131,32143,3884
0500000US38009,38009,"Bottineau County, North Dakota",32139,2272,19286,6559,29716,4049,31795,2307,40272,5858,61544,24549,44936,4657,25446,10500,38919,4843,43036,5225,55000,20344,92974,18471,24157,2199,4955,11624,19063,3490,24474,2426,27083,5544,44167,20583
0500000US38011,38011,"Bowman County, North Dakota",33289,4150,12500,8827,31875,2789,34375,8517,39479,4541,28750,15985,45769,4718,45156,31263,45000,12064,53854,12922,43482,2604,20714,10118,21033,1828,9338,1590,19063,6527,21375,3400,28750,14967,52143,31102
0500000US38013,38013,"Burke County, North Dakota",37500,6523,15000,7422,32841,7338,46250,13299,42639,13859,51250,6335,58235,6234,33594,16258,61750,12017,59444,16495,54500,19844,21250,67620,22857,2960,4375,7297,20192,4492,22500,6162,36458,9611,51563,2289
0500000US38015,38015,"Burleigh County, North Dakota",37322,834,16288,4223,27711,1468,33800,2385,45568,1656,55291,3334,45420,1667,20384,4982,36200,2567,43530,2284,56504,4520,67295,5327,30256,963,13700,4897,22062,1421,27309,1289,39401,1997,50356,3259
0500000US38017,38017,"Cass County, North Dakota",36003,674,21299,2746,29935,1352,33215,670,40428,1252,62241,2433,42878,1024,24848,5742,36066,1326,40198,1334,49433,3051,77063,6361,30584,664,14795,6437,21811,1217,28196,1107,35304,1335,55457,4744
0500000US38019,38019,"Cavalier County, North Dakota",32298,3286,16071,5953,24250,6773,34010,6344,37292,9015,56250,37178,42572,3962,15000,10760,37292,5161,45583,7982,52778,15070,61607,38837,21901,3732,18182,5748,13813,3206,21439,3456,33125,6050,38750,20083
0500000US38021,38021,"Dickey County, North Dakota",27340,2114,25250,13907,24048,4207,25776,2664,35313,8418,35417,9652,36689,3230,30714,7452,35000,4993,31875,9851,50662,5562,37083,9410,21077,1851,4479,12566,17571,2156,22455,3456,27171,5026,24286,23712
0500000US38023,38023,"Divide County, North Dakota",31944,4366,16042,12832,27679,9163,30188,4070,39773,13341,43750,18447,46818,4210,18750,21441,48036,9206,46190,4438,68295,23054,41250,39581,25236,2766,11250,5171,22778,9861,21250,14181,31458,8887,48036,28872
0500000US38025,38025,"Dunn County, North Dakota",30229,4213,39643,10351,26382,10042,29148,4878,31083,7951,50000,19691,44974,4503,42000,5363,43125,23640,50268,7670,46042,12149,18250,36124,19048,3903,14375,16418,13000,4696,19167,5213,18906,12054,58162,5242
0500000US38027,38027,"Eddy County, North Dakota",29773,3023,23661,2969,25163,3196,29091,4132,36349,1189,38281,9560,32415,4272,27500,4259,23750,6290,35729,6783,40000,8758,18750,28327,25053,1854,17083,14590,26167,2855,23272,2176,32321,8350,39531,10701
0500000US38029,38029,"Emmons County, North Dakota",26725,1428,20694,11311,20827,1506,29191,3826,40364,2872,53750,37374,31844,4771,25486,8747,26989,5328,36838,7869,43304,3399,39688,38757,22067,2674,11000,16137,14615,2167,25985,2004,39028,8626,75114,60514
0500000US38031,38031,"Foster County, North Dakota",33961,2459,20750,9120,25917,4502,35028,2258,47813,15930,48750,49596,50085,8548,22250,39581,36694,3493,50664,5201,64688,6218,63250,21590,25786,4242,13500,10991,17273,6409,23690,4419,36771,3784,26786,52121
0500000US38033,38033,"Golden Valley County, North Dakota",29911,2427,11184,2035,31250,13599,26793,3652,31314,1533,53750,21223,36563,13455,18750,25306,40357,20521,40313,22313,51875,84485,36429,13557,24570,2563,10987,741,22708,8990,23125,2980,31218,1040,57143,11885
0500000US38035,38035,"Grand Forks County, North Dakota",34426,946,21640,4105,26047,1376,32570,1344,40127,2134,58016,3759,41404,914,26743,2559,33094,1869,40263,1634,47070,3192,68772,4704,29195,1420,16917,5519,20327,1300,26799,1388,34579,1348,47987,4798
