GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
0500000US38001,38001,"Adams County, North Dakota",32674,3473,40313,27777,28026,5242,33839,3734,28472,6089,61250,32390,42330,3148,46000,27517,45625,8397,41058,3985,41875,21323,61071,43742,23713,2560,26250,15788,20446,9592,23929,6291,26000,9757,67614,48586
0500000US38003,38003,"Barnes County, North Dakota",34683,1624,21806,8920,30949,4488,37221,3541,33668,4697,48304,10431,45119,3955,23750,12786,41935,4735,50392,4701,38906,11908,64000,17811,28714,2640,19904,8696,21375,4413,30230,1606,32212,2684,40580,35218
0500000US38005,38005,"Benson County, North Dakota",30584,1163,15278,4827,24200,3658,30037,1918,41890,1823,50703,14374,37409,4079,20521,6117,31622,3977,37941,4830,49000,4400,56250,32368,25685,1542,10341,2094,17054,3993,25992,1145,38750,3210,41875,11392
0500000US38011,38011,"Bowman County, North Dakota",41696,1336,60069,33123,40958,3043,39881,3438,42132,3336,59750,30379,61283,6798,62292,10637,50000,11391,65000,9310,50694,20243,96250,35927,25298,3005,9125,802,22159,3287,20400,4702,39375,14011,56667,23819
0500000US38015,38015,"Burleigh County, North Dakota",40875,566,21426,7139,31722,1528,37415,1173,47732,3183,60728,4062,50171,991,30332,7068,40829,1593,48549,2513,58079,4688,74865,8170,32701,1442,11809,5739,24377,2232,30140,1549,40792,1726,52150,2590
0500000US38017,38017,"Cass County, North Dakota",37472,890,22369,4377,30453,1075,35849,922,41172,1208,65883,4829,44206,1921,29487,5460,35039,2176,44072,2434,50276,3264,79309,7068,31767,691,13548,3807,25374,2318,29588,1510,36490,1877,59230,4494
0500000US38021,38021,"Dickey County, North Dakota",31297,1427,24808,14174,30000,4660,27432,3642,41719,7981,45139,24854,44074,2995,37857,11881,41667,7470,46118,9655,58188,6726,46389,37896,21439,1778,13889,4310,17500,3502,21494,2606,25486,5856,43393,22535
0500000US38025,38025,"Dunn County, North Dakota",37122,6150,28750,21453,33125,7964,40673,7866,32150,11919,61429,12897,52070,5852,46827,8210,44886,11549,64063,14789,71094,31432,66250,44441,23438,3429,20852,3907,25962,4574,21500,3040,25227,12922,60714,13296
0500000US38043,38043,"Kidder County, North Dakota",36356,3332,31458,14354,30327,2065,39955,3797,41897,3486,36125,8325,41250,3367,36000,14811,36708,4299,50893,12131,47375,9661,36625,4635,28676,4671,30250,16212,17222,6969,30000,6896,40850,2279,20833,9753
0500000US38049,38049,"McHenry County, North Dakota",38157,3032,22500,9641,33456,6488,40428,3134,46250,6015,65714,9361,49700,3124,30500,11174,47143,5751,54375,5297,63611,22378,85500,14045,25588,1301,10833,3777,20156,2835,22895,3140,39432,3307,58750,5667
0500000US38051,38051,"McIntosh County, North Dakota",31714,2539,22857,11031,24327,6110,32292,3016,35179,7999,63472,13943,40793,3759,35208,23410,38889,6793,37350,4849,42411,16321,69750,10017,22824,2965,13250,5833,15893,6293,24609,2472,26250,1701,45500,4972
0500000US38055,38055,"McLean County, North Dakota",36319,1607,29063,11853,31758,2714,33393,3812,45793,2837,45750,8430,48562,2615,36250,15590,46767,5345,46813,5291,58750,7211,48750,3899,26609,2341,15833,15283,20474,4784,25199,3890,36800,4799,41389,4515
0500000US38059,38059,"Morton County, North Dakota",39957,2436,33824,5557,31800,2755,36553,2140,48125,3033,60758,11623,50734,2580,38214,9733,42431,7826,50091,7351,60735,10006,83859,23877,31546,1442,23600,9734,25537,2330,29642,2079,41117,3112,51270,3695
0500000US38067,38067,"Pembina County, North Dakota",32731,2017,14808,4347,29490,3420,36340,1584,45050,5036,43056,6072,41462,1899,16359,5786,35242,4734,46058,3059,60938,6946,50000,22193,26607,2002,11875,2169,23017,4475,26000,4738,34950,2276,39844,8322
0500000US38073,38073,"Ransom County, North Dakota",38413,2419,37143,20490,32589,5804,37039,4276,42500,6295,51625,13997,46113,2959,39750,3321,45250,8031,43676,4966,51989,16892,66875,16936,28599,1823,11000,5976,24609,2966,25972,2396,36280,1782,47857,13006
0500000US38079,38079,"Rolette County, North Dakota",32448,2406,20439,3068,28828,4580,29214,2802,41913,4696,58750,12402,33683,3845,21563,8987,31047,2248,31597,6094,41810,6261,68125,16151,31663,2882,18125,3268,26152,1741,27645,2574,42063,7564,52500,21733
